year,month,day,hour,min,wind dir,wind speed,temp,lat,lon,current dir,current speed
2010,1,15,23,44,130.0,8.8,,28.118,-93.67,,
2010,1,15,23,59,120.0,8.8,,28.118,-93.67,,
2010,1,16,0,14,120.0,7.2,,28.118,-93.67,,
2010,1,16,0,29,110.0,7.2,,28.118,-93.67,,
2010,1,16,0,44,130.0,7.7,,28.118,-93.67,,
2010,1,16,0,59,120.0,8.2,,28.118,-93.67,,
2010,1,16,1,14,120.0,8.8,,28.118,-93.67,,
2010,1,16,1,29,130.0,11.8,,28.118,-93.67,,
2010,1,16,1,44,120.0,10.8,,28.118,-93.67,,
2010,1,16,1,59,120.0,11.3,,28.118,-93.67,,
2010,1,16,2,14,120.0,10.3,,28.118,-93.67,,
2010,1,16,2,29,120.0,9.8,,28.118,-93.67,,
2010,1,16,2,44,120.0,7.2,,28.118,-93.67,,
2010,1,16,2,59,120.0,8.2,,28.118,-93.67,,
2010,1,16,3,14,120.0,8.8,,28.118,-93.67,,
2010,1,16,3,29,130.0,7.7,,28.118,-93.67,,
2010,1,16,3,44,140.0,8.2,,28.118,-93.67,,
2010,1,16,3,59,130.0,6.2,,28.118,-93.67,,
2010,1,16,4,14,130.0,6.7,,28.118,-93.67,,
2010,1,16,4,29,140.0,8.2,,28.118,-93.67,,
2010,1,16,4,44,140.0,7.7,,28.118,-93.67,,
2010,1,16,4,59,120.0,7.2,,28.118,-93.67,,
2010,1,16,5,14,120.0,7.7,,28.118,-93.67,,
2010,1,16,5,29,120.0,5.7,,28.118,-93.67,,
2010,1,16,5,44,120.0,5.7,,28.118,-93.67,,
2010,1,16,5,59,140.0,5.1,,28.118,-93.67,,
2010,1,16,6,14,150.0,5.1,,28.118,-93.67,,
2010,1,16,6,29,150.0,6.7,,28.118,-93.67,,
2010,1,16,6,44,150.0,5.1,,28.118,-93.67,,
2010,1,16,6,59,150.0,5.7,,28.118,-93.67,,
2010,1,16,7,14,170.0,5.7,,28.118,-93.67,,
2010,1,16,7,29,160.0,6.2,,28.118,-93.67,,
2010,1,16,7,44,160.0,8.2,,28.118,-93.67,,
2010,1,16,7,59,160.0,9.3,,28.118,-93.67,,
2010,1,16,8,14,170.0,8.2,,28.118,-93.67,,
2010,1,16,8,29,200.0,8.2,,28.118,-93.67,,
2010,1,16,8,44,200.0,4.6,,28.118,-93.67,,
2010,1,16,8,59,190.0,4.1,,28.118,-93.67,,
2010,1,16,9,14,190.0,4.6,,28.118,-93.67,,
2010,1,16,9,29,200.0,5.7,,28.118,-93.67,,
2010,1,16,9,44,190.0,5.1,,28.118,-93.67,,
2010,1,16,9,59,190.0,2.6,,28.118,-93.67,,
2010,1,16,10,14,180.0,1.5,,28.118,-93.67,,
2010,1,16,10,29,200.0,5.1,,28.118,-93.67,,
2010,1,16,10,44,180.0,9.8,,28.118,-93.67,,
2010,1,16,10,59,180.0,10.8,,28.118,-93.67,,
2010,1,16,11,14,190.0,6.2,,28.118,-93.67,,
2010,1,16,11,29,190.0,6.7,,28.118,-93.67,,
2010,1,16,11,44,200.0,4.1,,28.118,-93.67,,
2010,1,16,11,59,280.0,10.8,,28.118,-93.67,,
2010,1,16,12,14,280.0,9.8,,28.118,-93.67,,
2010,1,16,12,29,290.0,9.3,,28.118,-93.67,,
2010,1,16,12,44,280.0,8.2,,28.118,-93.67,,
2010,1,16,12,59,280.0,8.2,,28.118,-93.67,,
2010,1,16,13,14,300.0,7.2,,28.118,-93.67,,
2010,1,16,13,29,280.0,7.7,,28.118,-93.67,,
2010,1,16,13,44,280.0,8.8,,28.118,-93.67,,
2010,1,16,13,59,280.0,9.8,,28.118,-93.67,,
2010,1,16,14,14,290.0,7.7,,28.118,-93.67,,
2010,1,16,14,29,280.0,8.8,,28.118,-93.67,,
2010,1,16,14,44,270.0,7.7,,28.118,-93.67,,
2010,1,16,14,59,270.0,9.3,,28.118,-93.67,,
2010,1,16,15,14,270.0,8.2,,28.118,-93.67,,
2010,1,16,15,29,270.0,8.8,,28.118,-93.67,,
2010,1,16,15,44,260.0,8.8,,28.118,-93.67,,
2010,1,16,15,59,280.0,8.8,,28.118,-93.67,,
2010,1,16,16,14,270.0,7.7,,28.118,-93.67,,
2010,1,16,16,29,280.0,9.3,,28.118,-93.67,,
2010,1,16,16,44,270.0,7.2,,28.118,-93.67,,
2010,1,16,16,59,270.0,8.2,,28.118,-93.67,,
2010,1,16,17,14,270.0,7.2,,28.118,-93.67,,
2010,1,16,17,29,260.0,6.7,,28.118,-93.67,,
2010,1,16,17,44,260.0,7.7,,28.118,-93.67,,
2010,1,16,17,59,270.0,5.1,,28.118,-93.67,,
2010,1,16,18,14,260.0,5.1,,28.118,-93.67,,
2010,1,16,18,29,270.0,7.7,,28.118,-93.67,,
2010,1,16,18,44,310.0,10.3,,28.118,-93.67,,
2010,1,16,18,59,310.0,10.8,,28.118,-93.67,,
2010,1,16,19,14,310.0,13.4,,28.118,-93.67,,
2010,1,16,19,29,320.0,12.4,,28.118,-93.67,,
2010,1,16,19,44,310.0,13.9,,28.118,-93.67,,
2010,1,16,19,59,320.0,13.4,,28.118,-93.67,,
2010,1,16,20,14,320.0,13.4,,28.118,-93.67,,
2010,1,16,20,29,320.0,13.4,,28.118,-93.67,,
2010,1,16,20,44,320.0,12.9,,28.118,-93.67,,
2010,1,16,20,59,330.0,11.8,,28.118,-93.67,,
2010,1,16,21,14,330.0,13.4,,28.118,-93.67,,
2010,1,16,21,29,340.0,11.8,,28.118,-93.67,,
2010,1,16,21,44,340.0,9.3,,28.118,-93.67,,
2010,1,16,21,59,330.0,10.8,,28.118,-93.67,,
2010,1,16,22,14,330.0,11.3,,28.118,-93.67,,
2010,1,16,22,29,320.0,11.8,,28.118,-93.67,,
2010,1,16,22,44,320.0,11.3,,28.118,-93.67,,
2010,1,16,22,59,320.0,11.8,,28.118,-93.67,,
2010,1,16,23,14,320.0,13.4,,28.118,-93.67,,
2010,1,16,23,29,330.0,12.9,,28.118,-93.67,,
2010,1,16,23,44,330.0,12.9,,28.118,-93.67,,
2010,1,16,23,59,330.0,12.4,,28.118,-93.67,,
2010,1,17,0,14,320.0,11.8,,28.118,-93.67,,
2010,1,17,0,29,320.0,10.8,,28.118,-93.67,,
2010,1,17,0,44,320.0,12.4,,28.118,-93.67,,
2010,1,17,0,59,320.0,12.4,,28.118,-93.67,,
2010,1,17,1,14,330.0,11.8,,28.118,-93.67,,
2010,1,17,1,29,340.0,12.4,,28.118,-93.67,,
2010,1,17,1,44,330.0,12.9,,28.118,-93.67,,
2010,1,17,1,59,320.0,11.8,,28.118,-93.67,,
2010,1,17,2,14,330.0,12.9,,28.118,-93.67,,
2010,1,17,2,29,320.0,13.4,,28.118,-93.67,,
2010,1,17,2,44,330.0,13.4,,28.118,-93.67,,
2010,1,17,2,59,330.0,13.9,,28.118,-93.67,,
2010,1,17,3,14,330.0,12.4,,28.118,-93.67,,
2010,1,17,3,29,340.0,13.4,,28.118,-93.67,,
2010,1,17,3,44,330.0,12.9,,28.118,-93.67,,
2010,1,17,3,59,330.0,13.9,,28.118,-93.67,,
2010,1,17,4,14,330.0,13.9,,28.118,-93.67,,
2010,1,17,4,29,330.0,15.4,,28.118,-93.67,,
